<b>mettre</b>	to put
<div class=centered-block> Goutte de liquide salé qui humecte l'œil en permanence, et s'en écoule sous l'effet d'une douleur, d'une émotion.&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>larme</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Des larmes de dépit.&nbsp;Verser des larmes.</div>
<div style='font-weight: bold;'>bois</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div>	<div class=centered-block> Espace de terrain couvert d'arbres (en principe plus petit que la forêt*). </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Un bois de hêtres.&nbsp;Se promener dans les bois.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>forêt</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>wood</div>
<div class=centered-block> Espace de terrain couvert d'arbres (en principe plus petit que la forêt*). </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div> 	<div style='font-weight: bold;'>bois</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Un bois de hêtres.&nbsp;Se promener dans les bois.</div>
<div style='font-weight: bold;'>arbre</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div>	<div class=centered-block> Grand végétal dont la tige ligneuse se ramifie à partir d'une certaine hauteur au-dessus du sol.&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Racines, tronc, branches, feuillage d'un arbre.&nbsp;Arbres fruitiers, forestiers.&nbsp;—&nbsp;&nbsp;Monter dans un arbre&nbsp;; grimper aux arbres.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>tree</div>
<div class=centered-block> Grand végétal dont la tige ligneuse se ramifie à partir d'une certaine hauteur au-dessus du sol.&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div> 	<div style='font-weight: bold;'>arbre</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Racines, tronc, branches, feuillage d'un arbre.&nbsp;Arbres fruitiers, forestiers.&nbsp;—&nbsp;&nbsp;Monter dans un arbre&nbsp;; grimper aux arbres.</div>
<div style='font-weight: bold;'>poli(e)</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif</div>	<div class=centered-block> Dont le comportement, le langage sont conformes aux règles de la politesse.&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Un enfant poli,&nbsp;bien élevé.&nbsp;Elle a été à peine polie avec moi.&nbsp;</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>civil,&nbsp;courtois</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>polite</div>
<div class=centered-block> Dont le comportement, le langage sont conformes aux règles de la politesse.&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif</div> 	<div style='font-weight: bold;'>poli(e)</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Un enfant poli,&nbsp;bien élevé.&nbsp;Elle a été à peine polie avec moi.&nbsp;</div>
<div style='font-weight: bold;'>politesse</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> Ensemble de règles qui régissent le comportement, le langage à adopter dans une société&nbsp;; le fait et la manière d'observer ces usages.&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Formules de politesse&nbsp;(ex.&nbsp;s'il vous plaît, je vous en prie…).</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>civilité,&nbsp;courtoisie,&nbsp;éducation,&nbsp;savoir-vivre</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>politeness</div>
<div class=centered-block> Ensemble de règles qui régissent le comportement, le langage à adopter dans une société&nbsp;; le fait et la manière d'observer ces usages.&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>politesse</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Formules de politesse&nbsp;(ex.&nbsp;s'il vous plaît, je vous en prie…).</div>
<div style='font-weight: bold;'>découler</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe intransitif</div>	<div class=centered-block> S'ensuivre par développement naturel. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Les conséquences qui découlent de son acte, qui en découlent.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>émaner,&nbsp;provenir,&nbsp;résulter.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>ensue</div>
<div class=centered-block> S'ensuivre par développement naturel. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe intransitif</div> 	<div style='font-weight: bold;'>découler</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Les conséquences qui découlent de son acte, qui en découlent.</div>
<div style='font-weight: bold;'>croyance</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> Action, fait de croire une chose vraie, vraisemblable ou possible. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>La croyance à, en qqch.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>conviction</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>belief, faith</div>
<div class=centered-block> Action, fait de croire une chose vraie, vraisemblable ou possible. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>croyance</div> <br/> <div style='font-family: Arial; font-size: 16px;'>La croyance à, en qqch.</div>
<div style='font-weight: bold;'>devant <sup>(PRÉ)</sup></div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>préposition</div>	<div class=centered-block> 1. Du même côté que le visage d'une personne, que le côté visible ou accessible d'une chose.&nbsp;<div>2. En présence de (qqn).</div><div>3.&nbsp;Dans la direction qui est en face de qqn, qqch.</div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Je vous attendrai devant la porte.&nbsp;Pleurer devant tout le monde. Tous les hommes sont égaux devant la loi.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>en&nbsp;avant,&nbsp;en&nbsp;face,&nbsp;en vis-à-vis</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>in front, before</div>
<div class=centered-block> 1. Du même côté que le visage d'une personne, que le côté visible ou accessible d'une chose.&nbsp;<div>2. En présence de (qqn).</div><div>3.&nbsp;Dans la direction qui est en face de qqn, qqch.</div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>préposition</div> 	<div style='font-weight: bold;'>devant <sup>(PRÉ)</sup></div> <br/> <div style='font-family: Arial; font-size: 16px;'>Je vous attendrai devant la porte.&nbsp;Pleurer devant tout le monde. Tous les hommes sont égaux devant la loi.</div>
<div style='font-weight: bold;'>côté​​​</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div>	<div class=centered-block> 1.&nbsp;Région des côtes (de l'aisselle à la hanche).<div>2.&nbsp;<sup>(CHOSES)</sup>&nbsp;Partie qui est à droite ou à gauche.<br></div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Les côtés de la route.&nbsp;</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>flanc,&nbsp;bord, face</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>rib ; side</div>
<div class=centered-block> 1.&nbsp;Région des côtes (de l'aisselle à la hanche).<div>2.&nbsp;<sup>(CHOSES)</sup>&nbsp;Partie qui est à droite ou à gauche.<br></div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div> 	<div style='font-weight: bold;'>côté​​​</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Les côtés de la route.&nbsp;</div>
<div style='font-weight: bold;'>porte (II)</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> Ouverture spécialement aménagée pour permettre le passage&nbsp;; l'encadrement de cette ouverture. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Les portes d'une maison.&nbsp;La grande porte du château.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>accès,&nbsp;entrée</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>door, gate</div>
<div class=centered-block> Ouverture spécialement aménagée pour permettre le passage&nbsp;; l'encadrement de cette ouverture. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>porte (II)</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Les portes d'une maison.&nbsp;La grande porte du château.</div>
<div style='font-weight: bold;'>aménager</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div>	<div class=centered-block> Disposer et préparer méthodiquement en vue d'un usage déterminé.&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Aménager un hangar.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>agencer,&nbsp;arranger, adapter</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>arrange</div>
<div class=centered-block> Disposer et préparer méthodiquement en vue d'un usage déterminé.&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div> 	<div style='font-weight: bold;'>aménager</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Aménager un hangar.</div>
<div style='font-weight: bold;'>agencer</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div>	<div class=centered-block> Disposer en combinant (des éléments), organiser (un ensemble) par une combinaison d'éléments. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Un appartement bien agencé.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>coordonner,&nbsp;arranger</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>arrange</div>
<div class=centered-block> Disposer en combinant (des éléments), organiser (un ensemble) par une combinaison d'éléments. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div> 	<div style='font-weight: bold;'>agencer</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Un appartement bien agencé.</div>
<div style='font-weight: bold;'><div><div><div>vis-à-vis</div></div></div></div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>locution prépositive</div>	<div class=centered-block> 1. En face de.<div>3. Envers (qqn).</div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Se placer vis-à-vis l'un de l'autre.&nbsp;L'un vis-à-vis de l'autre.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>en face de,&nbsp;à l'opposé de, envers</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>in front of, towards</div>
<div class=centered-block> 1. En face de.<div>3. Envers (qqn).</div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>locution prépositive</div> 	<div style='font-weight: bold;'><div><div><div>vis-à-vis</div></div></div></div> <br/> <div style='font-family: Arial; font-size: 16px;'>Se placer vis-à-vis l'un de l'autre.&nbsp;L'un vis-à-vis de l'autre.</div>
<div style='font-weight: bold;'>chacun(e)</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>pronom indéfini</div>	<div class=centered-block> 1. Personne ou chose prise individuellement dans un ensemble.<div>2. Toute personne.&nbsp;</div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>1. Chacun de nous est parti.&nbsp;Chacun des deux&nbsp;:&nbsp;l'un et l'autre.&nbsp;Ils ont bu chacun sa&nbsp;(OU&nbsp;leur)&nbsp;bouteille.&nbsp;Chacune son tour.<div>2.&nbsp;À chacun selon son mérite.&nbsp;Chacun pour soi.</div></div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>each ; everyone</div>
<div class=centered-block> 1. Personne ou chose prise individuellement dans un ensemble.<div>2. Toute personne.&nbsp;</div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>pronom indéfini</div> 	<div style='font-weight: bold;'>chacun(e)</div> <br/> <div style='font-family: Arial; font-size: 16px;'>1. Chacun de nous est parti.&nbsp;Chacun des deux&nbsp;:&nbsp;l'un et l'autre.&nbsp;Ils ont bu chacun sa&nbsp;(OU&nbsp;leur)&nbsp;bouteille.&nbsp;Chacune son tour.<div>2.&nbsp;À chacun selon son mérite.&nbsp;Chacun pour soi.</div></div>
<div style='font-weight: bold;'>souveraineté</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> 1. Autorité suprême (d'un souverain, d'une nation…).<div>2.&nbsp;Caractère d'un État qui n'est soumis à aucun autre État.&nbsp;</div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>La souveraineté du peuple, fondement de la démocratie.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>couronne ; pouvoir ; autonomie,&nbsp;indépendance</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>sovereignty</div>
<div class=centered-block> 1. Autorité suprême (d'un souverain, d'une nation…).<div>2.&nbsp;Caractère d'un État qui n'est soumis à aucun autre État.&nbsp;</div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>souveraineté</div> <br/> <div style='font-family: Arial; font-size: 16px;'>La souveraineté du peuple, fondement de la démocratie.</div>
<div style='font-weight: bold;'>souverain(e)&nbsp;</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif</div>	<div class=centered-block> 1.&nbsp;Qui est au-dessus des autres, dans son genre.<div>2. Dont le pouvoir n'est limité par celui d'aucun autre.</div><div>3. Qui exprime un sentiment de supériorité.</div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Une habileté souveraine.&nbsp;—&nbsp;&nbsp;Un remède souverain.&nbsp;Puissance souveraine.&nbsp;Le peuple souverain.&nbsp;Un souverain mépris.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>tout-puissant ; régnant ;&nbsp;indépendant,&nbsp;autonome,&nbsp;libre</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>sovereign</div>
<div class=centered-block> 1.&nbsp;Qui est au-dessus des autres, dans son genre.<div>2. Dont le pouvoir n'est limité par celui d'aucun autre.</div><div>3. Qui exprime un sentiment de supériorité.</div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif</div> 	<div style='font-weight: bold;'>souverain(e)&nbsp;</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Une habileté souveraine.&nbsp;—&nbsp;&nbsp;Un remède souverain.&nbsp;Puissance souveraine.&nbsp;Le peuple souverain.&nbsp;Un souverain mépris.</div>
<div style='font-weight: bold;'>puissance (I12)</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> 1. Situation, état d'une personne, d'un groupe qui a une grande action&nbsp;; domination qui en résulte.&nbsp;<div>2.&nbsp;Caractère de ce qui peut beaucoup, de ce qui produit de grands effets.&nbsp;</div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>La puissance que confère la force, la richesse.&nbsp;—&nbsp;&nbsp;Volonté de puissance.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>force,&nbsp;vigueur ;&nbsp;efficacité,&nbsp;force,&nbsp;pouvoir</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>power</div>
<div class=centered-block> 1. Situation, état d'une personne, d'un groupe qui a une grande action&nbsp;; domination qui en résulte.&nbsp;<div>2.&nbsp;Caractère de ce qui peut beaucoup, de ce qui produit de grands effets.&nbsp;</div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>puissance (I12)</div> <br/> <div style='font-family: Arial; font-size: 16px;'>La puissance que confère la force, la richesse.&nbsp;—&nbsp;&nbsp;Volonté de puissance.</div>
<div style='font-weight: bold;'>parmi</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>préposition</div>	<div class=centered-block> Au milieu de. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Nous souhaitons vous avoir parmi nous.&nbsp;</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>au milieu de,&nbsp;dans,&nbsp;entre</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>among, amid</div>
<div class=centered-block> Au milieu de. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>préposition</div> 	<div style='font-weight: bold;'>parmi</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Nous souhaitons vous avoir parmi nous.&nbsp;</div>
<div style='font-weight: bold;'>milieu (I)</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div>	<div class=centered-block> Ce qui est à mi-distance. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Le doigt du milieu.&nbsp;Scier une planche par le milieu, en son milieu.&nbsp;Le milieu d'une pièce.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>centre,&nbsp;cœur,&nbsp;foyer</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>middle</div>
<div class=centered-block> Ce qui est à mi-distance. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div> 	<div style='font-weight: bold;'>milieu (I)</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Le doigt du milieu.&nbsp;Scier une planche par le milieu, en son milieu.&nbsp;Le milieu d'une pièce.</div>
<div style='font-weight: bold;'>preuve</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> 1. Ce qui sert à établir qu'une chose est vraie.<div>2. Ce qui sert d'exemple probant.</div><div>3. <sup>DROIT&nbsp;</sup>Démonstration de l'existence d'un fait matériel ou d'un acte juridique.</div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Preuve matérielle, tangible. Donner comme preuve, alléguer. Fournir des preuves&nbsp;; faire la preuve de…, que…<div><br></div><div>On n'a pu recueillir aucune preuve contre lui.</div></div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>confirmation, affirmation ; pièce à conviction</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>evidence, proof</div>
<div class=centered-block> 1. Ce qui sert à établir qu'une chose est vraie.<div>2. Ce qui sert d'exemple probant.</div><div>3. <sup>DROIT&nbsp;</sup>Démonstration de l'existence d'un fait matériel ou d'un acte juridique.</div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>preuve</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Preuve matérielle, tangible. Donner comme preuve, alléguer. Fournir des preuves&nbsp;; faire la preuve de…, que…<div><br></div><div>On n'a pu recueillir aucune preuve contre lui.</div></div>
je <b>avoir</b> (futur simple)	j'aurai
tu <b>avoir</b> (futur simple)	tu auras
il <b>avoir</b> (futur simple)	il aura
nous <b>avoir</b> (futur simple)	nous aurons
vous <b>avoir</b> (futur simple)	vous aurez
ils <b>avoir</b> (futur simple)	ils auront
 <b>avoir</b> (participe présent)	ayant
<div style='font-weight: bold;'>phrase</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> Assemblage oral ou écrit capable de représenter l'énoncé complet d'une idée. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>La phrase peut consister en un mot unique&nbsp;(ex.&nbsp;Viens&nbsp;!),&nbsp;mais contient habituellement un second terme qui est le sujet de l'énoncé&nbsp;(ex.&nbsp;Tu viens&nbsp;?).&nbsp;Phrase simple&nbsp;; complexe.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>énoncé,&nbsp;expression</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>sentence</div>
<div class=centered-block> Assemblage oral ou écrit capable de représenter l'énoncé complet d'une idée. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>phrase</div> <br/> <div style='font-family: Arial; font-size: 16px;'>La phrase peut consister en un mot unique&nbsp;(ex.&nbsp;Viens&nbsp;!),&nbsp;mais contient habituellement un second terme qui est le sujet de l'énoncé&nbsp;(ex.&nbsp;Tu viens&nbsp;?).&nbsp;Phrase simple&nbsp;; complexe.</div>
<div style='font-weight: bold;'>énoncer</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div>	<div class=centered-block> Exprimer (ce qu'on veut dire) en termes nets, sous une forme précise. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Énoncer les données d'un problème.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>formuler,&nbsp;avancer</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>state, enunciate</div>
<div class=centered-block> Exprimer (ce qu'on veut dire) en termes nets, sous une forme précise. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div> 	<div style='font-weight: bold;'>énoncer</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Énoncer les données d'un problème.</div>
<div style='font-weight: bold;'>locution</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> Groupe de mots figé ou relativement stable ayant la même fonction qu'un mot. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Locution figée.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>expression</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>phrase</div>
<div class=centered-block> Groupe de mots figé ou relativement stable ayant la même fonction qu'un mot. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>locution</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Locution figée.</div>
<b>à l'égard de</b>	with regard to <br> <br> <small>Ce professeur est prévenant à l'égard de ses élèves.</small>
with regard to	<b>à l'égard de</b> <br> <br> <small>Ce professeur est prévenant à l'égard de ses élèves.</small>
<div style='font-weight: bold;'>prévenant(e)</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif</div>	<div class=centered-block> Qui prévient les désirs d'autrui, est plein d'attentions délicates.&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Elle s'est montrée très prévenante avec sa grand-mère.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>aimable,&nbsp;affable,&nbsp;agréable</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>thoughtful,&nbsp;considerate</div>
<div class=centered-block> Qui prévient les désirs d'autrui, est plein d'attentions délicates.&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif</div> 	<div style='font-weight: bold;'>prévenant(e)</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Elle s'est montrée très prévenante avec sa grand-mère.</div>
<b>au début</b>	at the start <br> <br> <small>Au début, ce n'était qu'un loisir mais maintenant, il fait de la compétition.</small>
at the start	<b>au début</b> <br> <br> <small>Au début, ce n'était qu'un loisir mais maintenant, il fait de la compétition.</small>
<div style='font-weight: bold;'>loisir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div>	<div class=centered-block> 1. Temps dont on dispose pour faire commodément qqch.&nbsp;<br>2.&nbsp;<sup>SURTOUT PLURIEL&nbsp;</sup>Temps dont on peut librement disposer en dehors de ses occupations habituelles et des contraintes.<br>3.&nbsp;<sup>AU PLURIEL</sup>&nbsp;Distractions, pendant le temps de liberté. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Mes occupations ne me laissent pas le loisir de vous écrire.&nbsp;Avoir beaucoup de loisirs. Parc de loisirs.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>temps libre,&nbsp;temps à soi</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>leisure</div>
<div class=centered-block> 1. Temps dont on dispose pour faire commodément qqch.&nbsp;<br>2.&nbsp;<sup>SURTOUT PLURIEL&nbsp;</sup>Temps dont on peut librement disposer en dehors de ses occupations habituelles et des contraintes.<br>3.&nbsp;<sup>AU PLURIEL</sup>&nbsp;Distractions, pendant le temps de liberté. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div> 	<div style='font-weight: bold;'>loisir</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Mes occupations ne me laissent pas le loisir de vous écrire.&nbsp;Avoir beaucoup de loisirs. Parc de loisirs.</div>
<b>par rapport à</b>	compared to&nbsp;(in comparison with) <br> <br> <small>De nos jours, on vit bien par rapport à avant.</small>
compared to&nbsp;(in comparison with)	<b>par rapport à</b> <br> <br> <small>De nos jours, on vit bien par rapport à avant.</small>
<b>faire visiter</b>	show around <br> <br> <small>Il leur a fait visiter l'appartement.</small>
show around	<b>faire visiter</b> <br> <br> <small>Il leur a fait visiter l'appartement.</small>
